what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345519304233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345519348349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345519348864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345519350799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345519351797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345519352858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345519354511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345519358661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345519359597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345530245651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345530247773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345531600213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345531768366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345532059612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345532061375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345532833423
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1345532840349
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1345532841847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345532841878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345532842455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345532843188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533226712
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345533231096
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1345533231096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533233732
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533338596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533344648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533412040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533425238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533425565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533425581
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533430479
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533430760
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345533435986
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533438201
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533438295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533441711
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345533442429
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533442632
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1345533447733
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.quick.format",1345533457795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533461742
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345533464347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345533465517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533467717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533482615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533486327
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1345533487841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533489307
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533490836
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533496499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345533504065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533520148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533521974
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345533532847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533538182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533539399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533563828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533564764
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533567978
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533568056
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533571082
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533575060
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533575060
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533579085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533580832
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533581503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533584982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533587119
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openSearchDialog",1345533587135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533588445
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1345533588461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533589849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533591955
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345533594794
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533595044
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533595169
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533601112
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533602142
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533616276
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533620020
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533622828
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533623842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533625355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533634153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533650143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533658006
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533659191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533663840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533664059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345533671469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345533671734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345533673325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533677443
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533678691
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533681406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533682545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345533684198
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533685228
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533690204
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533693730
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533694338
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533696429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533700672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533701467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533706335
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533707863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345533708924
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533713433
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345533748720
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533753182
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1345533758174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533779748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533780950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533791760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533791948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345533795333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533796846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533802056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345533802228
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533804396
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345533804521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533809529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345533811042
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openSearchDialog",1345533811042
